No.,候補者ＩＤ,氏名（姓）,氏名（名）,かな（姓）,かな（名）,立候補予定選挙区ID,立候補予定選挙区,立候補時党派,政党ID
1,41543,藤井,一博,ふじい,かずひろ,50790,比例,自由民主党,1
2,10499,梶原,大介,かじはら,だいすけ,50790,比例,自由民主党,1
3,47498,青山,繁晴,あおやま,しげはる,50790,比例,自由民主党,1
4,52920,赤松,健,あかまつ,けん,50790,比例,自由民主党,1
5,47118,足立,敏之,あだち,としゆき,50790,比例,自由民主党,1
6,2784,阿達,雅志,あだち,まさし,50790,比例,自由民主党,1
7,45461,有里,真穂,ありさと,まほ,50790,比例,自由民主党,1
8,4347,井上,義行,いのうえ,よしゆき,50790,比例,自由民主党,1
9,47133,今井,絵理子,いまい,えりこ,50790,比例,自由民主党,1
10,940,岩城,光英,いわき,みつひで,50790,比例,自由民主党,1
11,5319,宇都,隆史,うと,たかし,50790,比例,自由民主党,1
12,53176,えり,アルフィヤ,えり,あるふぃや,50790,比例,自由民主党,1
13,53178,遠藤,奈央子,えんどう,なおこ,50790,比例,自由民主党,1
14,47124,小川,克巳,おがわ,かつみ,50790,比例,自由民主党,1
15,153,尾立,源幸,おだち,もとゆき,50790,比例,自由民主党,1
16,52917,越智,俊之,おち,としゆき,50790,比例,自由民主党,1
17,1755,片山,さつき,かたやま,さつき,50790,比例,自由民主党,1
18,52918,神谷,政幸,かみや,まさゆき,50790,比例,自由民主党,1
19,52733,河村,建一,かわむら,けんいち,50790,比例,自由民主党,1
20,2211,木村,義雄,きむら,よしお,50790,比例,自由民主党,1
21,47119,進藤,金日子,しんどう,かねひこ,50790,比例,自由民主党,1
22,47120,自見,英子,じみ,はなこ,50790,比例,自由民主党,1
23,580,園田,修光,そのだ,しゅうこう,50790,比例,自由民主党,1
24,52921,高原,朗子,たかはら,あきこ,50790,比例,自由民主党,1
25,52900,友納,理緒,とものう,りお,50790,比例,自由民主党,1
26,52919,長谷川,英晴,はせがわ,ひではる,50790,比例,自由民主党,1
27,47122,藤木,眞也,ふじき,しんや,50790,比例,自由民主党,1
28,56,藤末,健三,ふじすえ,けんぞう,50790,比例,自由民主党,1
29,2025,水落,敏栄,みずおち,としえい,50790,比例,自由民主党,1
30,53179,向山,淳,むこうやま,じゅん,50790,比例,自由民主党,1
31,2060,山谷,えり子,やまたに,えりこ,50790,比例,自由民主党,1
32,2943,山田,宏,やまだ,ひろし,50790,比例,自由民主党,1
33,53109,吉岡,伸太郎,よしおか,しんたろう,50790,比例,自由民主党,1
34,916,青木,愛,あおき,あい,50790,比例,立憲民主党,195
35,3322,有田,芳生,ありた,よしふ,50790,比例,立憲民主党,195
36,53142,石川,雅俊,いしかわ,まさとし,50790,比例,立憲民主党,195
37,5313,石橋,通宏,いしばし,みちひろ,50790,比例,立憲民主党,195
38,52922,鬼木,誠,おにき,まこと,50790,比例,立憲民主党,195
39,53275,要,友紀子,かなめ,ゆきこ,50790,比例,立憲民主党,195
40,53260,河野,麻美,かわの,あさみ,50790,比例,立憲民主党,195
41,40947,木村,正弘,きむら,まさひろ,50790,比例,立憲民主党,195
42,4654,栗下,善行,くりした,ぜんこう,50790,比例,立憲民主党,195
43,52923,古賀,千景,こが,ちかげ,50790,比例,立憲民主党,195
44,53261,澤邑,啓子,さわむら,けいこ,50790,比例,立憲民主党,195
45,52924,柴,慎一,しば,しんいち,50790,比例,立憲民主党,195
46,53262,菅原,美香,すがはら,みか,50790,比例,立憲民主党,195
47,52761,田中,勝一,たなか,しょういち,50790,比例,立憲民主党,195
48,2150,辻元,清美,つじもと,きよみ,50790,比例,立憲民主党,195
49,53,白,眞勲,はく,しんくん,50790,比例,立憲民主党,195
50,3323,はた,ともこ,はた,ともこ,50790,比例,立憲民主党,195
51,47367,堀越,啓仁,ほりこし,けいにん,50790,比例,立憲民主党,195
52,40941,村田,享子,むらた,きょうこ,50790,比例,立憲民主党,195
53,53274,森永,美樹,もりなが,みき,50790,比例,立憲民主党,195
54,2696,横山,信一,よこやま,しんいち,50790,比例,公明党,3
55,47478,竹内,真二,たけうち,しんじ,50790,比例,公明党,3
56,1564,上田,勇,うえだ,いさむ,50790,比例,公明党,3
57,47130,熊野,正士,くまの,せいし,50790,比例,公明党,3
58,1798,谷合,正明,たにあい,まさあき,50790,比例,公明党,3
59,38634,窪田,哲也,くぼた,てつや,50790,比例,公明党,3
60,5913,宮崎,勝,みやざき,まさる,50790,比例,公明党,3
61,53264,河合,綾,かわい,あや,50790,比例,公明党,3
62,53266,淀屋,伸雄,よどや,のぶお,50790,比例,公明党,3
63,53268,中北,京子,なかきた,きょうこ,50790,比例,公明党,3
64,38637,深澤,淳,ふかざわ,あつし,50790,比例,公明党,3
65,53271,中嶋,健二,なかしま,けんじ,50790,比例,公明党,3
66,51437,奈良,直記,なら,なおき,50790,比例,公明党,3
67,53270,光延,康治,みつのぶ,やすはる,50790,比例,公明党,3
68,53269,伊大知,孝一,いおち,こういち,50790,比例,公明党,3
69,53267,塩野,正貴,しおの,まさたか,50790,比例,公明党,3
70,53265,水島,春香,みずしま,はるか,50790,比例,公明党,3
71,5118,石井,章,いしい,あきら,50790,比例,日本維新の会,187
72,47458,石井,苗子,いしい,みつこ,50790,比例,日本維新の会,187
73,440,後藤,斎,ごとう,ひとし,50790,比例,日本維新の会,187
74,3259,松浦,大悟,まつうら,だいご,50790,比例,日本維新の会,187
75,5105,山口,和之,やまぐち,かずゆき,50790,比例,日本維新の会,187
76,3876,木内,孝胤,きうち,たかたね,50790,比例,日本維新の会,187
77,48746,井上,一徳,いのうえ,かずのり,50790,比例,日本維新の会,187
78,47235,串田,誠一,くしだ,せいいち,50790,比例,日本維新の会,187
79,51401,青島,健太,あおしま,けんた,50790,比例,日本維新の会,187
80,30340,飯田,哲史,いいだ,さとし,50790,比例,日本維新の会,187
81,33666,石田,隆史,いしだ,たかし,50790,比例,日本維新の会,187
82,37094,猪瀬,直樹,いのせ,なおき,50790,比例,日本維新の会,187
83,47642,上野,蛍,うえの,ほたる,50790,比例,日本維新の会,187
84,53038,金子,道仁,かねこ,みちひと,50790,比例,日本維新の会,187
85,52941,神谷,ゆり,かみたに,ゆり,50790,比例,日本維新の会,187
86,9697,岸口,実,きしぐち,みのる,50790,比例,日本維新の会,187
87,52255,小林,悟,こばやし,さとる,50790,比例,日本維新の会,187
88,53206,西郷,隆太郎,さいごう,りゅうたろう,50790,比例,日本維新の会,187
89,22412,中川,健一,なかがわ,けんいち,50790,比例,日本維新の会,187
90,53078,中条,きよし,なかじょう,きよし,50790,比例,日本維新の会,187
91,52898,中村,悠基,なかむら,ゆうき,50790,比例,日本維新の会,187
92,49880,西川,鎭央,にしかわ,やすお,50790,比例,日本維新の会,187
93,6609,八田,盛茂,はった,もりしげ,50790,比例,日本維新の会,187
94,29280,松野,明美,まつの,あけみ,50790,比例,日本維新の会,187
95,9214,水ノ上,成彰,みずのうえ,なるあき,50790,比例,日本維新の会,187
96,42062,森口,あゆみ,もりぐち,あゆみ,50790,比例,日本維新の会,187
97,2646,川合,孝典,かわい,たかのり,50790,比例,国民民主党,197
98,47126,濱口,誠,はまぐち,まこと,50790,比例,国民民主党,197
99,47128,矢田,稚子,やた,わかこ,50790,比例,国民民主党,197
100,52899,竹詰,仁,たけづめ,ひとし,50790,比例,国民民主党,197
101,2989,山下,容子,やました,ようこ,50790,比例,国民民主党,197
102,52989,上松,正和,うえまつ,まさかず,50790,比例,国民民主党,197
103,53272,河辺,佳朗,かわべ,よしろう,50790,比例,国民民主党,197
104,53273,城戸,佳織,きど,かおり,50790,比例,国民民主党,197
105,1637,樽井,良和,たるい,よしかず,50790,比例,国民民主党,197
106,1005,田村,智子,たむら,ともこ,50790,比例,日本共産党,4
107,66,大門,実紀史,だいもん,みきし,50790,比例,日本共産党,4
108,5523,岩渕,友,いわぶち,とも,50790,比例,日本共産党,4
109,36011,武田,良介,たけだ,りょうすけ,50790,比例,日本共産党,4
110,160,仁比,聡平,にひ,そうへい,50790,比例,日本共産党,4
111,9625,赤田,勝紀,あかだ,かつのり,50790,比例,日本共産党,4
112,47870,今村,あゆみ,いまむら,あゆみ,50790,比例,日本共産党,4
113,5872,上里,清美,うえざと,きよみ,50790,比例,日本共産党,4
114,51904,片岡,朗,かたおか,ろう,50790,比例,日本共産党,4
115,5009,片山,和子,かたやま,かずこ,50790,比例,日本共産党,4
116,10528,来田,時子,きた,ときこ,50790,比例,日本共産党,4
117,53110,小山,早紀,こやま,さき,50790,比例,日本共産党,4
118,12803,佐々木,とし子,ささき,としこ,50790,比例,日本共産党,4
119,41517,高橋,真生子,たかはし,まきこ,50790,比例,日本共産党,4
120,3555,冨田,直樹,とみた,なおき,50790,比例,日本共産党,4
121,36432,西沢,博,にしざわ,ひろし,50790,比例,日本共産党,4
122,50103,西田,佐枝子,にしだ,さえこ,50790,比例,日本共産党,4
123,3124,花木,則彰,はなき,のりあき,50790,比例,日本共産党,4
124,53112,深田,秀美,ふかだ,ひでみ,50790,比例,日本共産党,4
125,47413,細野,真理,ほその,まり,50790,比例,日本共産党,4
